docno,title,producer,genre,description,num_episodes,rating,num_reviews,link
6iu1dtyl,Leading Saints Podcast,Leading Saints,Religion & Spirituality,"Leading Saints is a nonprofit organization with a mission to help Latter-day Saints (LDS, Mormon) be better prepared to lead.Here are 4 ways Leading Saints accomplishes the above mission statement:1. Connect Latter-day Saint Leaders2. Enhance Leadership Ability3. Present Leadership Scholarship & Research4. Celebrate Divine GuidancePodcast Host:Kurt Francom is the founder and executive director of Leading Saints, a nonprofit organization helping Latter-day Saints be better prepared to lead. He manages the day-to-day efforts of Leading Saints and is the host of the podcast by the same name. Leading Saints has reached individuals internationally and has received over 2 million downloads. Kurt currently lives in Utah with his lovely wife Alanna. They are blessed to have three children. He enjoys drawing caricatures, playing basketball, reading, and watching college football. Kurt has served as a full-time missionary (California Sacramento), as a bishop, 1st counselor in a stake presidency, and elders quorum president.",300,4.8,943,https://podcasts.apple.com/us/podcast/leading-saints-podcast/id869421445
t35n7bk9,The Paul Finebaum Show,ESPN,Sports,Paul Finebaum provides his unique takes on the SEC and the world of college football.,200,4.0,777,https://podcasts.apple.com/us/podcast/the-paul-finebaum-show/id687989405
eiqypt0m,Classified,QCODE,Fiction,"A new quick-witted mystery from the makers of Blackout and The Left Right Game, Classified follows Ivan Harris (WYATT RUSSELL), a slightly paranoid smooth talker who finds himself trapped in the mysterious Ravenholm Institute. Ivan claims to be sane, but his cries are ignored by the imposing Doctor Bell (MONICA POTTER), who insists that Ivan be treated until he’s free of his delusions. While enduring painful procedures and under the heavy watch of the attendants, Ivan formulates a plan of escape with the other patients. Ivan yearns to get back to his partner, Odessa, but does she even exist? Is Ivan really a trained killer? He is planning his escape with the help of his imaginary friend Lark (BRENT JENNINGS), so what is actually going on? And What does Ravenholm have to do with it all? Tune in to find out what happens to Ivan and his fellow band of misfits. Produced by QCODE. Created by Spenser Cohen and Anna Halberg. Starring Wyatt Russell, Brent Jennings & Monica Potter.",13,4.6,581,https://podcasts.apple.com/us/podcast/classified/id1608626153
sgmk96vr,Search and Seizure,Bruce-Alan Barnard,Government,SEARCH AND SEIZURE is a podcast for law enforcement officers providing case law updates and commentary on the latest developments in search and seizure law.  This podcast is sponsored by LEA ONE.,5,4.9,8,https://podcasts.apple.com/us/podcast/search-and-seizure/id1511599692
di0fcy0j,Nontendo Podcast,Wood Hawker & Bob Wulff,Leisure,"Nontendo Podcast is a weekly Nintendo podcast, hosted by Wood from Beatemups and Bob from Wulff Den.",27,4.7,290,https://podcasts.apple.com/us/podcast/nontendo-podcast/id1624139141
4k8f7ou1,1865,Wondery,Fiction,"April 15, 1865. President Lincoln is dead and the country in turmoil.Secretary of War Edwin Stanton takes control, determined to bring the assassin to justice—but the hunt for John Wilkes Booth isn’t all that grips Stanton.Lincoln’s successor, Vice President Andrew Johnson, is likely to bend to southern interests and undo the very progress for which Lincoln died. Edwin Stanton must employ every bit of political wile he can muster to secure the future of the freed slaves, and the nation.Consumed by his conviction, Stanton will betray his friends, his honor, and the very constitution he is sworn to protect, all to steer the country towards justice.***All episodes are available for free, with ad-free episodes available for Wondery+ subscribers.***1865 is an Airship production. Support this show to get early, ad-free access to episodes and more.",62,4.8,2700,https://podcasts.apple.com/us/podcast/1865/id1467256065
wnnsmx60,Toddlers Made Easy with Dr Cathryn,Dr. Cathryn,Kids & Family,"Toddlers Made Easy is a short, 10 minute, bite-sized podcast that gives you the insight, tools, and confidence you need to not only handle anything toddler-related thrown your way —but prevent problem behaviors before they start. Toddlers Made Easy is hosted by Dr. Cathryn, a nationally recognized pediatrician with more than 30 years of experience and a mother of 4.",14,4.9,32,https://podcasts.apple.com/us/podcast/toddlers-made-easy-with-dr-cathryn/id1641168814
gdsfkw1b,Got It From My Momma,Jennifer Vickery Smith,Music,"A podcast with the mommas of your favorite entertainers! Join host Jennifer Vickery Smith for the Got it From My Momma podcast!  We'll chat about family, fame, and faith with the mommas of your favorite entertainers. Listen as our guests share never before heard stories from the artist’s childhood and the journey to stardom from the perspective only a momma can share!",1,5.0,2,https://podcasts.apple.com/us/podcast/got-it-from-my-momma/id1654239133
yba7mdtb,Slow Radio,BBC Radio 3,Science,"An antidote to today’s frenzied world. Step back, let go, immerse yourself: it’s time to go slow.A lo-fi celebration of pure sound.",105,3.9,152,https://podcasts.apple.com/us/podcast/slow-radio/id1297180610
bbvxu8op,It Was Said: Sports,C13Originals,History,"We hold speeches from the world of sports deep in our hearts and minds as timeless and historic moments that still, to this day and beyond, bring us inspiration, historical context, empathy, education and more. We remember these iconic moments so that we too can share them with current and future generations as a way to remember why they touched us personally, and why they remain so relevant and important today. Welcome to It Was Said: Sports, Season one, a documentary podcast that guides you through six of the most impactful and timeless speeches in sports history, including Jack Buck’s “For America” poem following the 9/11 attacks, Muhammad Ali protesting the Vietnam War, Billie Jean King championing equal pay, Tim Tebow’s promise, Hank Aaron’s Hall of Fame acceptance speech, and co-captain Harry Flournoy’s powerful statement on race during Texas Western's Basketball Hall of Fame induction. From the team that brought you the Webby Award-winning Best Series of 2021, It Was Said, comes the sports version of the franchise, narrated by NBA legend, Doc Rivers, written by Pulitzer-Prize Winning Historian, Jon Meacham, and directed, produced and created by award-winning C13Originals Studios, a Cadence13 company. With first-hand perspective behind some of the most memorable and influential moments in sports, propelled by the voice of Rivers, the writing of Meacham and the production of C13Originals, this timeless documentary is meant to inspire, educate, and keep these historical moments as relevant as ever, and for generations to come. It Was Said: Sports is a presentation of Shining City Audio, a C13Originals and Jon Meacham Studio.",8,4.9,134,https://podcasts.apple.com/us/podcast/it-was-said-sports/id1583582515
e62cfqt7,The Activators‪!‬,A Kids Co.,Kids & Family,"A Kids Podcast About Activism. Join kid activist Leo, founder of Dance for Justice, as he celebrates and amplifies kids who are activating social change by doing what they love.",11,4.7,19,https://podcasts.apple.com/us/podcast/the-activators/id1578105690
4cvy9u28,"Calm Pills - Soothing Space Ambient and Piano Music for Relaxing, Peaceful Sleep, Reading or Mindful Meditation",Uplifting Pills,Music,"Calm Pills are ad-free soothing ambient albums, seamlessly mixed to help with relaxation, meditation, reading or deep sleep. Mostly consisting of instrumental ambient sounds, natural soundscapes and soft piano music, these mixes will help you completely relax your mind and body. Also available as online radio and through Alexa or Google smart speakers: CalmRadio.UpliftingPills.com",63,4.5,276,https://podcasts.apple.com/us/podcast/calm-pills-soothing-space-ambient-and-piano-music-for/id1173559723
zowp10ts,Batman: The Animated Podcast,Justin Michael,TV & Film,"Welcome to an interview variety show for your ears hosted by Justin Michael. Each episode brings together a fan of Batman: The Animated Series or a special guest who worked on the TV show to discuss their favorite episodes from the legendary 90’s cartoon. Why? Because I love this show. You probably do, too.",84,4.6,257,https://podcasts.apple.com/us/podcast/batman-the-animated-podcast/id964103963
5dk231qs,The Psychologists Are In with Maggie Lawson and Timothy Omundson,Cloud10 and iHeartPodcasts,TV & Film,"Maggie Lawson and Timothy Omundson (aka Lassiter and Jules) are back at it again hosting the official Psych re-watch podcast. Each week they'll talk about your favorite episodes, share behind-the-scene stories, incredible memories, and have drop-in visits from their best friends and fellow cast-mates.",60,4.8,1700,https://podcasts.apple.com/us/podcast/the-psychologists-are-in-with-maggie-lawson/id1593693216
snqdma0s,Guided Sleep Meditation & Sleep Hypnosis from Sleep Cove,Sleep Cove Channel,Health & Fitness,"If you are one of the many people who can’t sleep, join us in listening to our Podcast. You’ll hear relaxing sleep hypnosis, guided sleep meditations and bedtime stories – all designed to help you relax and get a peaceful night’s sleep.",214,4.6,1700,https://podcasts.apple.com/us/podcast/guided-sleep-meditation-sleep-hypnosis-from-sleep-cove/id1473626965
1pq6dkl5,Opposing Bases: Air Traffic Talk,Air Traffic Talk,Leisure,"RH and AG are two experienced air traffic controllers and pilots that host a weekly show answering listener questions, breaking down complex aviation topics, and relating their experiences to everyday occurrences in the national airspace system.  The hosts and guests do not represent the FAA or NATCA and express their own views and opinions.",270,4.9,544,https://podcasts.apple.com/us/podcast/opposing-bases-air-traffic-talk/id1330865695
754nln40,Mean Girl,Barstool Sports,Comedy,"""Best friends in your ear.” Worlds collide on this podcast when married, Alex Bennett and single, Jordyn Woodruff come together for honest conversations about sex, friendship, struggles, moving to a new city, and growing up. What can you expect as a listener? To laugh, relate, and feel like you’re catching up with your best friends.You can find every episode of this show on Apple Podcasts, Spotify or YouTube. Prime Members can listen ad-free on Amazon Music. For more, visit barstool.link/meangirlpod",45,4.6,1800,https://podcasts.apple.com/us/podcast/mean-girl/id1607683522
p34ezktf,Let There Be House,Glen Horsborough,Music,"With over 60,000 iTunes downloads per month the Let There Be House is a podcast delivered every Monday featuring the latest releases from the label as well as the freshest tracks from around the world mixed by founder Glen Horsborough and resident Queen B. If you love the show please rate us and leave a review.For more info visit our website www.ltbh.co.uk Hosted on Acast. See acast.com/privacy for more information.",484,4.7,50,https://podcasts.apple.com/us/podcast/let-there-be-house/id669420150
l3z27806,The Handlebar podcast,"Aaron Smith, Raffi Greco, Elyssa Smith, Sarahbeth Smith",Religion & Spirituality,Season 2 coming October 3rd. ❤️The handlebar podcast is conversations around questions that people are asking and giving ‘handlebars’ to hold onto as you move forward in the Faith. Episodes drop every Monday. ✌�,16,5.0,126,https://podcasts.apple.com/us/podcast/the-handlebar-podcast/id1629208237
yz2wbpuu,The Rational Reminder Podcast,Benjamin Felix & Cameron Passmore,Business,"A weekly reality check on sensible investing and financial decision-making, from two Canadians. Hosted by Benjamin Felix and Cameron Passmore, Portfolio Managers at PWL Capital.",247,4.9,246,https://podcasts.apple.com/us/podcast/the-rational-reminder-podcast/id1426530582
kvhoa2se,GFOA,GFOA,Government,Gain insight through research from the Government Finance Officers Association.,95,4.5,12,https://podcasts.apple.com/us/podcast/gfoa/id1476481717
cgl34ykt,ITS UP THERE PODCAST W/LOONEY,REVOLT,Music,"Welcome to It's Up There Podcast With Looney, AKA BIG LOON! Loon strives to be a business leader for the culture. When he speaks about the podcast business, record label business and contracts, he does it with a level of understanding that your average consumer would not have. Being able to see through the smoke and mirrors within the industry and the industry tricks, people come to It’s Up There for a one of a kind perspective and to get a full breakdown. Tune in! Audio drops on Mondays and video drops on Thursdays!",123,4.9,94,https://podcasts.apple.com/us/podcast/its-up-there-podcast-w-looney/id1317524092
ajlctjeb,Crimetown,Gimlet,News,"Welcome to Crimetown, a series produced by Marc Smerling and Zac Stuart-Pontier in partnership with Gimlet Media. Each season, we investigate the culture of crime in a different city. In Season 2, Crimetown heads to the heart of the Rust Belt: Detroit, Michigan. From its heyday as Motor City to its rebirth as the Brooklyn of the Midwest, Detroit’s history reflects a series of issues that strike at the heart of American identity: race, poverty, policing, loss of industry, the war on drugs, and our universal desire for a savior. Detroit’s a tough town, and its residents are even tougher. They’ve weathered riots, a drug epidemic, political scandal, and innumerable other hardships, but they’re still here—and they have stories to tell.",54,4.7,13900,https://podcasts.apple.com/us/podcast/crimetown/id1170959623
cl9gpt9w,Fresh Air,Fresh Air,Arts,"Fresh Air from WHYY, the Peabody Award-winning weekday magazine of contemporary arts and issues, is one of public radio's most popular programs. Hosted by Terry Gross, the show features intimate conversations with today's biggest luminaries.Subscribe to Fresh Air Plus! You'll be supporting the unique show you can't get enough of - and you can listen sponsor-free. Learn more at plus.npr.org/freshair",235,4.3,30700,https://podcasts.apple.com/us/podcast/fresh-air/id214089682
t40ybhgb,The Run-Up,The New York Times,News,Elections are about more than who wins and who loses. The New York Times reporter Astead Herndon takes us beyond the horse race to explore how we got to this fraught moment in American politics.,11,4.3,1100,https://podcasts.apple.com/us/podcast/the-run-up/id1142083165
zwbc7nnn,Crimes of the Centuries,Obsessed Network,True Crime,"Crime is so commonplace that it takes something particularly shocking to be labelled the “crime of the century.” Even so, there are a lot of cases that have earned the distinction. In each episode of Crimes of the Centuries, award-winning journalist Amber Hunt will examine a case that’s lesser known today but was huge when it happened. The cases explored span the centuries and each left a mark. Some made history by changing laws. Others were so shocking they changed society.",91,4.7,2800,https://podcasts.apple.com/us/podcast/crimes-of-the-centuries/id1535803457
1r65yam5,On the Media,WNYC Studios,News,"The Peabody Award-winning On the Media podcast is your guide to examining how the media sausage is made. Host Brooke Gladstone examines threats to free speech and government transparency, cast a skeptical eye on media coverage of the week’s big stories and unravel hidden political narratives in everything we read, watch and hear.",120,4.7,7700,https://podcasts.apple.com/us/podcast/on-the-media/id73330715
oa4lzkru,Bring Birds Back,BirdNote,Science,"A show about the joy of birds and the ways that humans can help them through simple, everyday actions.",23,4.8,116,https://podcasts.apple.com/us/podcast/bring-birds-back/id1566042634
qva0jt86,Tin Foil Hat With Sam Tripoli,Sam Tripoli,Comedy,"Welcome to the Tin Foil Hat conspiracy podcast, with Sam Tripoli and his glorified interns XG and Johnny Woodard!",689,4.7,7900,https://podcasts.apple.com/us/podcast/tin-foil-hat-with-sam-tripoli/id577245086
vw8xjo9t,NOAA: Diving Deeper,National Ocean Service,Government,Diving Deeper is a bi-weekly program featuring discussions with NOS scientists on a wide variety of ocean topics.,99,4.8,5,https://podcasts.apple.com/us/podcast/noaa-diving-deeper/id1309739533
bnnl700a,World Alternative Media,Josh Sigurdson,News,"Once the fastest growing independent media in the world before being stifled by big tech, we now post on most independent platforms. We produce content prolifically. News, interviews, documentaries, confrontation and updates. Headed by Josh Sigurdson. WAM!",302,5.0,5,https://podcasts.apple.com/us/podcast/world-alternative-media/id1625575829
m71xkuo9,Oxventure - A Dungeons & Dragons Podcast,The Oxventurers Guild,Leisure,"The Oxventurers Guild presents a DnD real play podcast! Join Johnny Chiodini, Jane Douglas, Andy Farrant, Mike Channell, Ellen Rose and Luke Westaway for chit-chat and chaotic good times. The Oxventure Podcast brings you new commentary alongside audio versions of classic Oxventure Dungeons and Dragons sessions recorded for live shows, streams and the original video episodes published on YouTube channels Outside Xbox and Outside Xtra.",114,5.0,612,https://podcasts.apple.com/us/podcast/oxventure-a-dungeons-dragons-podcast/id1528568221
s64v656n,Clinician's Brief: The Podcast,Clinician's Brief,Science,"Listen as host Alyssa Watson, DVM, talks with the authors of your favorite Clinician’s Brief articles. We’ll dig deeper and explore the conversations behind the content.",158,4.4,83,https://podcasts.apple.com/us/podcast/clinicians-brief-the-podcast/id1466128015
oluq7v0h,Therapy as a Christian,Anchored Media Network,Health & Fitness,"Therapy as a Christian Podcast is a show for all things mental health and Christ. We discuss how therapy can aid in helping us healing from our past and how God can assist us in that effort. We will discuss different topics, interviews, and reflection sessions from the host, Roslyn Rene, own therapy sessions.",174,4.9,424,https://podcasts.apple.com/us/podcast/therapy-as-a-christian/id1443970723
tw6wusxe,Unsubscribe Podcast,UnsubscribePodcast,Leisure,"Unsubscribe from this Podcast. Gaming, Gats, and Guys, With @baddieStreams, @DonutOperator  and @Eli_doubletapALL OUR LINKS: https://linktr.ee/UnsubscribePodCast",79,4.9,885,https://podcasts.apple.com/us/podcast/unsubscribe-podcast/id1549719303
58czem0j,Curious Kid Podcast,Olivia,Kids & Family,Join Jacob and 9 year old Olivia as they learn fun and educational things.  They take on a new topic each episode with the goal of providing an educational and entertaining experience for listeners of all ages.  New episodes every Sunday!,268,4.6,349,https://podcasts.apple.com/us/podcast/curious-kid-podcast/id1437708666
x7wg7e9s,Southern Mysteries Podcast,Shannon Ballard,History,"Southern Mysteries explores history and mysteries of the American South. Each episode features a story that originates in a southern state. The show is unique in that subject matter varies with each new episode. From true crime to folklore and mysteries to legendary figures, you’ll hear a unique take on the story and the history behind it.",50,4.9,644,https://podcasts.apple.com/us/podcast/southern-mysteries-podcast/id1298314174
utglk4af,The Story Seeds Podcast,Literary Safari,Kids & Family,"Our Webby Award-nominated show matches kids ages 6-12 and their story ideas with diverse, beloved children's authors. Each episode chronicles the magic that grows through author-child collaboration and features an immersive story time read aloud by the author. Bonus episodes feature author interviews with our host Betsy Bird! As a Common Sense Media Seal Selection, our show is recognized as a great choice for kids and families for its engaging stories, valuable content, and diverse voices, characters, and messages and has received an A+ for educational value. Our show has also been featured in Wired, Time for Kids, Parents, The New York Times, and CBC and wasThe Week Junior magazine's 2020 Podcast of the Year. Our theme song and music is composed and performed by Andrew VanWyngarden, the Grammy-nominated singer/songwriter/musician and co-founder of MGMT. Our companion activity book ""Imagination Lab: Experiments in Creativity"" is a New York Times/Wirecutter ""Best Gift for 10 Year Olds"" pick. This podcast is a Literary Safari Production.",29,4.3,186,https://podcasts.apple.com/us/podcast/the-story-seeds-podcast/id1499565720
i5fcedbo,TheThinkingAtheist,The Thinking Atheist,Science,"Seth Andrews, a former Christian broadcaster and believer for 30 years, ultimately escaped the bonds of superstitious thinking to embrace the more satisfying explanations that science provides.  A professional video producer and host of one of the most popular atheist communities on the internet, Seth Andrews brings a polished format, a relaxed environment and a rage-free challenge to the religious beliefs that defined his youth.",544,4.7,2500,https://podcasts.apple.com/us/podcast/thethinkingatheist/id412308695
bjjft7ut,Citadel Dispatch,ODELL,Technology,An interactive show about bitcoin and freedom tech.100% audience funded. No ads or sponsors.,95,4.9,82,https://podcasts.apple.com/us/podcast/citadel-dispatch/id1546393840
urk7fe34,Films To Be Buried With with Brett Goldstein,Distraction Pieces Ntwrk,TV & Film,"We are born. We die. In between we watch a lot of films. And some of these films shape the people we are. This is a podcast about those films. (And a bit about death.)Join comedian, actor, writer and swimmer Brett Goldstein and an extra special weekly guest as they go all the way into life and death by way of movies, to ultimately pick their Films To Be Buried With! Support this show http://supporter.acast.com/filmstobeburiedwith. Hosted on Acast. See acast.com/privacy for more information.",229,4.9,1600,https://podcasts.apple.com/us/podcast/films-to-be-buried-with-with-brett-goldstein/id1408585620
u09rn09u,Dear Hank & John,Complexly,Society & Culture,Hosts John and Hank Green (authors and YouTubers) offer both humorous and heartfelt advice about life’s big and small questions. They bring their personal passions to each episode by sharing the week’s news from Mars (the planet) and AFC Wimbledon (the fourth-tier English football club).,352,4.9,6800,https://podcasts.apple.com/us/podcast/dear-hank-john/id1002937870
kvztcwu2,We're Having Gay Sex,Studio71,Comedy,"After 10 years of serial monogamy, comedian Ashley Gavin, trades in her u-haul for a life of sleeping around and documents every gritty detail of her queer experiments in this podcast. Always in fear of being cancelled, Ashley is aided by her queerest friends, Kate Sisk, known as the ""Cancel Coach"", and the ""Youth in the Soundbooth"" Gara Lonning, equipped with a gen-z themed soundboard, to call Ashley out on her BS. Together they interview people from all over the gender and sexuality spectrums (from straight to gay and cis to trans) about their sex lives. And yes straight people, you will find out what lesbian sex is.For advertising opportunities please email PodcastPartnerships@Studio71us.com   We wanna make the podcast even better, help us learn how we can: https://bit.ly/2EcYbu4  Privacy Policy: https://www.studio71.com/us/terms-and-conditions-use/#Privacy%20Policy",143,4.9,2000,https://podcasts.apple.com/us/podcast/were-having-gay-sex/id1505116116
9r62ffew,Limelight,BBC Radio 4,Fiction,The Limelight podcast - for fiction and drama serials you won't want to miss from Radio 4. New series: The House That Vanished,73,4.4,97,https://podcasts.apple.com/us/podcast/limelight/id1567365630
d3cko4j2,SelfHealers Soundboard,The Holistic Psychologist,Health & Fitness,"The SELFHEALERS SOUNDBOARD is a global, community-based healing experience created by Dr. Nicole LePera and Jenna Weakland. Each week, we host raw, unscripted, open conversations about the things we are REALLY dealing with on the journey of facing our pasts and becoming our best Selves. Together, as community, we create resonance with “strangers” around the world as we collectively witness our own triggers, habits, traumas, and inherent wisdom. This is, and always will be, an ad free experience. Subscribe to our SelfHealers Soundboard YouTube channel to view these weekly podcasts with video and connect with us. New episodes every Sunday at 12 PM PST.",79,4.8,1700,https://podcasts.apple.com/us/podcast/selfhealers-soundboard/id1564136756
hwlvk68z,John Mark Comer Teachings,Practicing the Way,Religion & Spirituality,"The teachings of Jesus lead us to a better, fuller life. This was true in the ancient world where Jesus first taught, and it’s still true today. But what does it mean to actually practice the way of Jesus in today’s complex, secular world? In this podcast by Practicing the Way, John Mark Comer responds to that important question through his teachings at Bridgetown Church in Portland, Oregon. Join us as John Mark provides practical insight on how you can be with Jesus, become like Him and do what He did wherever you are today.practicingtheway.org ( practicingtheway.org )",54,4.9,433,https://podcasts.apple.com/us/podcast/john-mark-comer-teachings/id1592847144
w5fxen70,American Contingency,American Contingency,Government,"Welcome to the American Contingency Podcast. Each episode features a unique discussion led by members of the American Contingency community. Experts in all things preparedness join us each week to share their stories and provide insight into the changing culture. American Contingency's mission is to create and support a network of people and teams across the country who are prepared to respond and able to recover from difficult situations they, their families, or their communities may face. Join us on our preparedness journey.",17,4.9,373,https://podcasts.apple.com/us/podcast/american-contingency/id1539209759
mq6bterc,Law of Code,Jacob Robinson,Technology,"The Law of Code podcast focuses on the legal framework being built around blockchains, crypto, NFTs, and DAOs. We’ll look at crypto regulations, rights surrounding NFTs, as well as the legislation impacting blockchain.You’ll hear from the top lawyers, lawmakers, and entrepreneurs in the space – we’ll touch on best practices countries are implementing, new regulations, and share ideas on the best path forward.",70,5.0,8,https://podcasts.apple.com/us/podcast/law-of-code/id1578287932
yxhk1qm3,Cincinnati's Crime Vault | Beyond the Broadcast,Fox 19 Now,True Crime,"Cincinnati's Crime Vault is an award winning news series on FOX 19 Now.  This audio podcast will take the stories featured in the news beyond the broadcast. A team of journalists led by Jessica Schmidt will break down the assignment, the interviews, and the facts discovered as they work on each case.",13,4.8,72,https://podcasts.apple.com/us/podcast/cincinnatis-crime-vault-beyond-the-broadcast/id1641626489
bpnfupzv,LeVar Burton Reads,LeVar Burton and Stitcher,Arts,"The best short fiction, handpicked by the best voice in podcasting. In every episode, host LeVar Burton (Roots, Reading Rainbow, Star Trek) invites you to take a break from your daily life, and dive into a great story. LeVar’s narration blends with gorgeous soundscapes to bring stories by Neil Gaiman, Haruki Murakami, Octavia Butler, Ray Bradbury and more to life. So, if you’re ready, let’s take a deep breath...",158,4.9,15500,https://podcasts.apple.com/us/podcast/levar-burton-reads/id1244649384
